"Country_Name","Country_Code","Time","GDP","Exports","Imports","CO2_GDP","CO2_percapita","Shannon_index","f_assinadas","Forest_area","Land_area","Mobile_cell","Population","Living Planet index","lpi_regions","v2x_polyarchy","v2x_libdem","v2x_partidem"
"Armenia","ARM",2009,8647937091.00000,14.67090,42.60334,0.54150,1.52171,3.3180,0,11.61812,28470.00000,73.92986,2964296.00000,104.43,"Europe and Central Asia",0.323,0.182,0.176
"Armenia","ARM",2010,9260285762.00000,19.74842,44.89456,0.50938,1.47188,3.7885,0,11.61082,28470.00000,131.19381,2946293.00000,105.54,"Europe and Central Asia",0.336,0.191,0.187
"Armenia","ARM",2011,10142111812.00000,22.52319,46.91239,0.55388,1.68561,4.2821,1,11.60351,28470.00000,109.63610,2928976.00000,103.02,"Europe and Central Asia",0.339,0.192,0.190
"Armenia","ARM",2012,10619320693.00000,27.56181,48.39986,0.59825,1.96145,2.6327,1,11.59621,28470.00000,114.01362,2914421.00000,98.61,"Europe and Central Asia",0.356,0.203,0.196
"Armenia","ARM",2013,11121464430.00000,28.35349,49.20156,0.55735,1.89616,2.5619,1,11.58890,28470.00000,115.33375,2901385.00000,92.28,"Europe and Central Asia",0.355,0.211,0.192
"Armenia","ARM",2014,11609513241.00000,28.56038,47.21849,0.53579,1.89589,4.1583,1,11.58159,28470.00000,119.69622,2889930.00000,90.60,"Europe and Central Asia",0.349,0.207,0.209
"Armenia","ARM",2015,10553337528.00000,29.72539,41.95668,0.50632,1.85625,4.7919,36,11.57429,28470.00000,120.35351,2878595.00000,88.43,"Europe and Central Asia",0.350,0.206,0.195
"Armenia","ARM",2016,10546136240.00000,33.74428,42.33369,0.47915,1.76797,4.6183,36,11.56691,28470.00000,119.84525,2865835.00000,86.11,"Europe and Central Asia",0.357,0.209,0.226
"Australia","AUS",2000,416000000000.00000,19.40528,21.56171,0.38868,17.83732,4.6373,0,17.15816,7682300.00000,45.02059,19028802.00000,62.27,"Asia and Pacific",0.888,0.849,0.645
"Australia","AUS",2001,379000000000.00000,22.16818,22.08217,0.38784,17.93073,4.9774,0,17.12863,7682300.00000,57.83415,19274701.00000,61.27,"Asia and Pacific",0.884,0.845,0.642
"Australia","AUS",2002,396000000000.00000,20.73796,20.73372,0.38126,18.12321,4.4030,0,17.09911,7682300.00000,65.05495,19495210.00000,61.51,"Asia and Pacific",0.875,0.836,0.635
"Australia","AUS",2003,467000000000.00000,19.06704,21.15526,0.36932,17.89454,4.8099,8,17.06959,7682300.00000,72.83111,19720737.00000,62.20,"Asia and Pacific",0.875,0.836,0.635
"Australia","AUS",2004,614000000000.00000,17.17179,19.85792,0.36768,18.36887,5.1901,74,17.04007,7682300.00000,82.70993,19932722.00000,63.06,"Asia and Pacific",0.875,0.836,0.631
"Australia","AUS",2005,695000000000.00000,18.23454,20.94805,0.35903,18.27847,5.1517,74,17.01054,7682300.00000,91.31591,20176844.00000,62.88,"Asia and Pacific",0.875,0.835,0.627
"Australia","AUS",2006,748000000000.00000,19.86707,21.72071,0.35447,18.29275,4.9859,74,16.98102,7682300.00000,96.54552,20450966.00000,62.68,"Asia and Pacific",0.875,0.835,0.623
"Australia","AUS",2007,854000000000.00000,20.19721,21.83934,0.35094,18.45474,5.4550,74,16.95150,7682300.00000,102.06027,20827622.00000,59.98,"Asia and Pacific",0.876,0.836,0.626
"Australia","AUS",2008,1060000000000.00000,20.15701,22.70706,0.34167,18.23929,5.4129,79,16.92198,7682300.00000,104.10454,21249199.00000,55.85,"Asia and Pacific",0.885,0.847,0.638
"Australia","AUS",2009,929000000000.00000,23.01363,22.73312,0.34084,18.15720,4.3709,94,16.89245,7682300.00000,102.48885,21691653.00000,50.05,"Asia and Pacific",0.885,0.847,0.635
"Australia","AUS",2010,1150000000000.00000,19.79928,20.72105,0.33529,17.97375,5.6175,94,16.86293,7682300.00000,102.18370,22031750.00000,46.80,"Asia and Pacific",0.895,0.857,0.639
"Australia","AUS",2011,1400000000000.00000,21.43742,20.40513,0.32617,17.65606,4.9799,94,16.95531,7682300.00000,106.40499,22340024.00000,44.42,"Asia and Pacific",0.897,0.861,0.638
"Australia","AUS",2012,1550000000000.00000,21.49934,21.66739,0.31492,17.40562,5.2583,100,17.04769,7682300.00000,107.07779,22733465.00000,44.00,"Asia and Pacific",0.897,0.861,0.638
"Australia","AUS",2013,1580000000000.00000,19.98571,21.28919,0.30137,16.79459,5.9330,100,17.14007,7682300.00000,107.91033,23128129.00000,44.65,"Asia and Pacific",0.877,0.838,0.610
"Australia","AUS",2014,1470000000000.00000,21.09637,21.37537,0.28686,16.15575,5.7006,116,17.23245,7682300.00000,106.77652,23475686.00000,45.92,"Asia and Pacific",0.868,0.828,0.603
"Australia","AUS",2015,1350000000000.00000,20.06807,21.55504,0.28564,16.19846,5.7843,117,17.32482,7682300.00000,108.18533,23815995.00000,46.88,"Asia and Pacific",0.879,0.839,0.610
"Australia","AUS",2016,1210000000000.00000,19.27226,21.55058,0.28455,16.32033,5.2749,165,17.42549,7692020.00000,109.73437,24190907.00000,44.76,"Asia and Pacific",0.883,0.845,0.614
"Austria","AUT",2000,197000000000.00000,43.34627,42.01422,0.20418,7.93086,3.8218,28,46.51163,82520.00000,76.36296,8011566.00000,106.46,"Europe and Central Asia",0.859,0.785,0.624
"Austria","AUT",2001,198000000000.00000,44.61756,42.91911,0.21551,8.44466,4.0591,30,46.54200,82520.00000,81.35951,8042293.00000,105.06,"Europe and Central Asia",0.859,0.785,0.622
"Austria","AUT",2002,214000000000.00000,45.31939,41.62878,0.21656,8.58384,3.7931,32,46.57237,82520.00000,83.37674,8081957.00000,104.75,"Europe and Central Asia",0.859,0.785,0.620
"Austria","AUT",2003,262000000000.00000,44.57041,41.81697,0.23030,9.16932,3.5808,32,46.60274,82520.00000,89.58013,8121423.00000,104.16,"Europe and Central Asia",0.858,0.782,0.617
"Austria","AUT",2004,301000000000.00000,46.86721,43.92513,0.22818,9.27587,4.6142,32,46.63311,82520.00000,97.80673,8171966.00000,104.88,"Europe and Central Asia",0.859,0.783,0.616
